Weekday,Hour of the Day,Arrivals
Monday,7,9.529878997529746
Monday,8,54.06005656229223
Monday,9,69.94318822484182
Monday,10,70.26850537937597
Monday,11,69.92405192163393
Monday,12,65.65665630627421
Monday,13,64.47020550738497
Monday,14,73.59822213754902
Monday,15,74.07662971774629
Monday,16,60.18367358881737
Monday,17,12.17834336150187
Tuesday,7,9.94318656944425
Tuesday,8,54.4260730448985
Tuesday,9,67.10915310214368
Tuesday,10,63.20023021927925
Tuesday,11,59.853140288997764
Tuesday,12,55.03572156791405
Tuesday,13,51.65276995980814
Tuesday,14,59.028321699035544
Tuesday,15,61.526685254138506
Tuesday,16,53.87619398492369
Tuesday,17,11.84630757467481
Tuesday,18,9.924152537418388
Tuesday,19,49.57697966119156
Tuesday,20,60.68758586259209
Tuesday,21,64.18193569486824
Tuesday,22,63.22633798563354
Tuesday,23,57.564064992108506
Wednesday,5,49.72588566257191
Wednesday,6,55.30488746861657
Wednesday,7,55.82831784401206
Wednesday,8,46.99383443489787
Wednesday,9,9.064282110507332
Wednesday,10,7.962606036849739
Wednesday,11,41.65494542608062
Wednesday,12,51.6480535087144
Wednesday,13,52.3210587469326
Wednesday,14,53.43253709489901
Wednesday,15,47.293913558423974
Wednesday,16,45.32588308908895
Wednesday,17,51.05662466300751
Wednesday,18,52.51480267914693
Thursday,7,42.9330627894962
Thursday,8,8.892723745658282
Thursday,9,9.37707689084664
Thursday,10,5.114769213189077
Thursday,11,7.672153819783616
Thursday,12,3.4098461421260513
Thursday,13,3.4098461421260513
Thursday,14,1.7049230710630257
Thursday,15,0.9825059055978619
Thursday,16,12.772576772772204
Thursday,17,8.239651799218432
Friday,7,36.24948755655777
Friday,8,42.58119224321773
Friday,9,43.34635293042739
Friday,10,42.82986946656087
Friday,11,41.854289590368545
Friday,12,40.04659746683572
Friday,13,45.68965753500698
Friday,14,44.044562057506205
Friday,15,39.03275955628291
Friday,16,7.777249734939576
Friday,17,0.8512412645207498
